hometown,count
"Clinton Township, Mich.",3
"Clinton, Iowa",1
"Clinton, Mass.",1
"Clinton, Miss.",2
"Clinton, Nj",1
"Clinton, Nj.",1
"Clive, Iowa",1
"Clover, S.c.",3
Clovis,3
"Clovis, Calif.",3
"Clute, Texas",2
"Coal City, Ill.",1
"Coal Valley, Ill.",1
"Coamo, Puerto Rico",2
"Coarsegold, Calif.",1
"Coatesville, Pa.",2
"Cochranton, Pa",1
"Cochranville, Pa.",3
"Cocoa, Fla.",1
"Coconut Creek, Fl",1
"Coconut Creek, Fla.",1
"Coeur D'alene, Id",1
"Coeur D'alene, Idaho",4
"Coeur D’alene, Idaho",1
"Coeymans Hollow, Ny",1
"Cogan Station, Pa.",1
"Cold Spring, Ky.",2
"Cold Spring, N.y.",2
